Block Size,Cache size,Hit Ratio
2,	8,		39.4
4,8,	46.3
8,8,		53.4
2,16,		60.0
4,16,		51.3
8,16,			58.5
16,16,			66.0
2,32,		75.7
4,32,		68.9
8,32,		70.7
16,32,			73.5
32,32,			80.1
