Block Size,Cache size,Hit Ratio
2,          8,		46.1
4,          8,		45.2
8,          8,	    53.4
2,          16,		69.8
4,          16,		50.6
8,          16,		56.1
16,         16,		66.0
2,          32,		86.2
4,          32,		75.9
8,          32,		66.0
16,         32,		68.2
32,         32,		80.1
